Sim,Gene,Selective Pressure std,Selective Pressure mean
toynet_20251029__001259__,0___u,0.4923939509822808,0.5869082618347633
toynet_20251029__001259__,1___u,0.4923939509822808,0.4130917381652367
toynet_20251029__001259__,2___u,0.40024080270007084,0.2003159936801264
toynet_20251029__001259__,3___u,0.40927445203488844,0.2127757444851103
toynet_20251029__001259__,0___l,0.0,0.0
toynet_20251029__001259__,1___l,0.0,0.0
toynet_20251029__001259__,2___l,0.0,0.0
toynet_20251029__001259__,3___l,0.0,0.0
toynet_20251029__002450__,0___u,0.4929276535624343,0.5838283234335313
toynet_20251029__002450__,1___u,0.49292765356243423,0.4161716765664687
toynet_20251029__002450__,2___u,0.40748009325545226,0.2102357952840943
toynet_20251029__002450__,3___u,0.40438788880072524,0.20593588128237436
toynet_20251029__002450__,0___l,0.0,0.0
toynet_20251029__002450__,1___l,0.0,0.0
toynet_20251029__002450__,2___l,0.0,0.0
toynet_20251029__002450__,3___l,0.0,0.0
toynet_20251029__015557__,0___u,0.4934807691639148,0.5805083898322033
toynet_20251029__015557__,1___u,0.4934807691639149,0.4194916101677966
toynet_20251029__015557__,2___u,0.41576613663259365,0.22225555488890222
toynet_20251029__015557__,3___u,0.3979160218649042,0.19723605527889443
toynet_20251029__015557__,0___l,0.0,0.0
toynet_20251029__015557__,1___l,0.0,0.0
toynet_20251029__015557__,2___l,0.0,0.0
toynet_20251029__015557__,3___l,0.0,0.0
toynet_20251029__015826__,0___u,0.4932337117534769,0.5820083598328033
toynet_20251029__015826__,1___u,0.4932337117534769,0.41799164016719664
toynet_20251029__015826__,2___u,0.4095408686877752,0.2131557368852623
toynet_20251029__015826__,3___u,0.403585695449837,0.20483590328193435
toynet_20251029__015826__,0___l,0.0,0.0
toynet_20251029__015826__,1___l,0.0,0.0
toynet_20251029__015826__,2___l,0.0,0.0
toynet_20251029__015826__,3___l,0.0,0.0
toynet_20251029__020157__,0___u,0.49329343278801446,0.5816483670326593
toynet_20251029__020157__,1___u,0.49329343278801446,0.4183516329673407
toynet_20251029__020157__,2___u,0.40283773213942015,0.20381592368152637
toynet_20251029__020157__,3___u,0.4105039694446588,0.21453570928581428
toynet_20251029__020157__,0___l,0.0,0.0
toynet_20251029__020157__,1___l,0.0,0.0
toynet_20251029__020157__,2___l,0.0,0.0
toynet_20251029__020157__,3___l,0.0,0.0
